ResNet50_top1,ResNet50_top1_prob,ResNet50_top2,ResNet50_top2_prob,ResNet50_top3,ResNet50_top3_prob,VGGNet16_top1,VGGNet16_top1_prob,VGGNet16_top2,VGGNet16_top2_prob,VGGNet16_top3,VGGNet16_top3_prob,InceptionV3_top1,InceptionV3_top1_prob,InceptionV3_top2,InceptionV3_top2_prob,InceptionV3_top3,InceptionV3_top3_prob,ConvNeXt_top1,ConvNeXt_top1_prob,ConvNeXt_top2,ConvNeXt_top2_prob,ConvNeXt_top3,ConvNeXt_top3_prob,EfficientNet_top1,EfficientNet_top1_prob,EfficientNet_top2,EfficientNet_top2_prob,EfficientNet_top3,EfficientNet_top3_prob,ResNet50_time,VGGNet16_time,InceptionV3_time,ConvNeXt_time,EfficientNet_time,total_time,label
hammerhead,0.5660361,albatross,0.25470313,tiger_shark,0.0649746,albatross,0.50186163,hammerhead,0.10625794,killer_whale,0.08779579,tiger_shark,0.13126239,hammerhead,0.11077261,killer_whale,0.027549276,hammerhead,0.5813074,tiger_shark,0.18307452,great_white_shark,0.042635836,hammerhead,0.310767,tiger_shark,0.12696064,gar,0.11234136,0.04591679573059082,0.07505321502685547,0.04388904571533203,0.2686479091644287,0.31908297538757324,0.7525949478149414,dolphin
Arabian_camel,0.9986299,llama,0.0013693153,ostrich,2.421298e-07,Arabian_camel,0.9972657,llama,0.0025221198,bighorn,0.0001301022,Arabian_camel,0.9754031,llama,0.0029654652,bullet_train,0.00078562653,Arabian_camel,0.95991546,llama,0.0026970112,bison,0.00019283991,Arabian_camel,0.81775916,llama,0.0043349527,bighorn,0.00086522044,0.045462846755981445,0.07291913032531738,0.04301095008850098,0.2667357921600342,0.3103470802307129,0.738480806350708,camel
zebra,0.9989957,impala,0.00017367551,hartebeest,0.00014923808,zebra,0.999959,gazelle,2.2760803e-05,hartebeest,8.499302e-06,zebra,0.9530447,hartebeest,0.0013519961,impala,0.00051866984,zebra,0.9169516,hartebeest,0.0007550824,ostrich,0.00041771337,zebra,0.83813816,hartebeest,0.001596807,impala,0.0009976928,0.04415702819824219,0.0713191032409668,0.04454493522644043,0.2629859447479248,0.3041059970855713,0.727118730545044,zebra
grey_whale,0.97298706,submarine,0.007940296,killer_whale,0.0067407126,grey_whale,0.99468887,leatherback_turtle,0.0027452519,killer_whale,0.0007953205,grey_whale,0.98397183,leatherback_turtle,0.000959913,sewing_machine,0.0007775173,grey_whale,0.9203991,gar,0.0023332513,killer_whale,0.0021503682,grey_whale,0.8511448,killer_whale,0.001416053,platypus,0.0010507719,0.04488801956176758,0.08714890480041504,0.051545143127441406,0.26728200912475586,0.31085705757141113,0.7617261409759521,blue_whale
hartebeest,0.43319312,zebra,0.1925479,impala,0.084941,hartebeest,0.46013248,water_buffalo,0.34968463,ox,0.063262455,hartebeest,0.5665889,zebra,0.05248473,water_buffalo,0.030739196,hartebeest,0.57418627,zebra,0.12087101,water_buffalo,0.06695622,hartebeest,0.58475256,impala,0.07044515,ox,0.04711299,0.04436016082763672,0.07413887977600098,0.0433652400970459,0.2699007987976074,0.3231990337371826,0.7549679279327393,wildebeest
armadillo,0.9986355,weevil,0.000541797,isopod,0.00012700722,armadillo,0.99999726,hippopotamus,1.0842906e-06,mongoose,4.4213488e-07,armadillo,0.9669029,echidna,0.0003648131,porcupine,0.00029848528,armadillo,0.90151703,hog,0.00029122506,ear,0.0002607949,armadillo,0.8510754,broom,0.00075006497,hog,0.00054555194,0.04836010932922363,0.0730140209197998,0.045166969299316406,0.2675819396972656,0.32793617248535156,0.7620639801025391,armadillo
sea_lion,0.9987513,otter,0.001242829,grey_whale,1.9390861e-06,sea_lion,0.987258,otter,0.011439087,leatherback_turtle,0.00089088414,sea_lion,0.99322,otter,0.001555202,centipede,0.00018695493,sea_lion,0.7224643,otter,0.05016833,mink,0.0084063355,sea_lion,0.8076679,otter,0.0084866155,mink,0.0049815574,0.0483248233795166,0.07755112648010254,0.04476475715637207,0.26862001419067383,0.3068678379058838,0.7461340427398682,sea_lion
wallaby,0.47336113,gazelle,0.26317963,llama,0.057838645,gazelle,0.3354566,wallaby,0.32047126,dingo,0.08938487,wallaby,0.8155453,llama,0.008190382,gazelle,0.0031095268,wallaby,0.7561987,gazelle,0.020710075,hartebeest,0.002395762,wallaby,0.8383141,gazelle,0.004896901,hare,0.003677425,0.04489398002624512,0.07162594795227051,0.04205012321472168,0.26526427268981934,0.3057899475097656,0.7296290397644043,kangaroo
warthog,0.99790716,wild_boar,0.001656636,hog,0.0004249674,warthog,0.9968837,wild_boar,0.0024611193,water_buffalo,0.00026732794,warthog,0.95049924,wild_boar,0.0019674029,Petri_dish,0.0018082266,warthog,0.8452759,wild_boar,0.00903556,hog,0.0017776759,warthog,0.800815,wild_boar,0.0121826,hog,0.00451361,0.04495501518249512,0.07083868980407715,0.04299807548522949,0.2634141445159912,0.3258349895477295,0.7480449676513672,warthog
porcupine,0.1737331,skunk,0.105786525,polecat,0.07281315,Arctic_fox,0.26969948,black-footed_ferret,0.17723002,polecat,0.07869347,Arctic_fox,0.3298327,polecat,0.08215272,weasel,0.06630179,polecat,0.40823638,lesser_panda,0.26977363,skunk,0.054996748,polecat,0.30600378,black-footed_ferret,0.11002571,weasel,0.03940328,0.048799991607666016,0.07617998123168945,0.04479479789733887,0.2692689895629883,0.32568907737731934,0.7647380828857422,opossum
marmot,0.998863,beaver,0.00047298076,fox_squirrel,0.00032316186,marmot,0.9996493,beaver,0.0001626315,otter,7.0302114e-05,marmot,0.9003883,beaver,0.031789124,fox_squirrel,0.0013984147,marmot,0.8752017,beaver,0.00864416,black-footed_ferret,0.0015936905,marmot,0.7685262,beaver,0.016389556,fox_squirrel,0.0034814372,0.047361135482788086,0.07477402687072754,0.04610705375671387,0.26929688453674316,0.3264122009277344,0.76395583152771,groundhog
dugong,0.9992793,sea_lion,0.00068894593,ice_bear,1.9899524e-05,dugong,0.9997533,sea_lion,0.00021437062,ice_bear,1.4242862e-05,dugong,0.9416016,African_chameleon,0.005194917,sulphur-crested_cockatoo,0.0006488833,dugong,0.9190337,sea_lion,0.00044944396,hippopotamus,0.00036386724,dugong,0.80043894,Dandie_Dinmont,0.0010743624,Sealyham_terrier,0.00086984364,0.04690194129943848,0.08072590827941895,0.045067787170410156,0.2663588523864746,0.30262112617492676,0.7416808605194092,manatee
water_buffalo,0.98962504,ox,0.008884784,bison,0.0007916309,water_buffalo,0.99027354,ox,0.00667935,oxcart,0.0020676986,water_buffalo,0.8859527,ox,0.009958265,bison,0.005348489,water_buffalo,0.86500245,ox,0.028067095,hog,0.0017256628,water_buffalo,0.76075995,ox,0.043032896,oxcart,0.0050090277,0.042958736419677734,0.0712728500366211,0.044265031814575195,0.2635362148284912,0.3029179573059082,0.7249557971954346,water_buffalo
wombat,0.9720487,beaver,0.016379679,mink,0.0037217913,wombat,0.97864944,beaver,0.009063526,marmot,0.0067134313,wombat,0.9499726,marmot,0.0008842503,mink,0.00062671263,wombat,0.8906898,beaver,0.0008550959,marmot,0.0008297981,wombat,0.74343306,beaver,0.0040850095,marmot,0.0037498274,0.04515695571899414,0.07130599021911621,0.04597210884094238,0.26874589920043945,0.32796692848205566,0.759152889251709,wombat
orangutan,0.9790163,guenon,0.014114542,titi,0.0033122173,orangutan,0.9987674,titi,0.0006206318,guenon,0.00014180502,orangutan,0.80208766,siamang,0.006868514,titi,0.0029227019,orangutan,0.899915,titi,0.0032327403,patas,0.0018079516,orangutan,0.77681375,patas,0.006323436,titi,0.0062608314,0.05028104782104492,0.07344484329223633,0.04669690132141113,0.27112388610839844,0.31996798515319824,0.7615218162536621,orangutan
snow_leopard,0.99912673,leopard,0.0008117797,lynx,4.6942278e-05,snow_leopard,0.98637426,leopard,0.008415955,lynx,0.0032588802,snow_leopard,0.9229465,leopard,0.007070169,cheetah,0.0038426425,snow_leopard,0.85417026,leopard,0.018974872,Arctic_fox,0.001104468,snow_leopard,0.74499863,leopard,0.028831592,jaguar,0.0044370606,0.046540021896362305,0.07460999488830566,0.045912981033325195,0.2718698978424072,0.32689714431762695,0.7658357620239258,snow_leopard
fox_squirrel,0.9990677,mongoose,8.412062e-05,ear,8.1509956e-05,fox_squirrel,0.9440523,acorn,0.010881385,corn,0.010117766,fox_squirrel,0.8505675,swing,0.0038124025,ear,0.0027957112,fox_squirrel,0.8642793,ear,0.0033642137,corn,0.0029797084,fox_squirrel,0.76498085,corn,0.0036863124,ear,0.0027792994,0.04865694046020508,0.07244110107421875,0.045049190521240234,0.26706695556640625,0.33215832710266113,0.7653796672821045,squirrel
bell_cote,0.6342761,Egyptian_cat,0.05262856,stupa,0.049294997,flagpole,0.32322466,pinwheel,0.04101205,umbrella,0.034623377,Egyptian_cat,0.083677135,grey_fox,0.06707799,tiger_cat,0.056393664,Chihuahua,0.6212975,Egyptian_cat,0.12654158,Ibizan_hound,0.021737434,Egyptian_cat,0.26656422,tiger_cat,0.20946524,tabby,0.1902691,0.1877589225769043,0.10480809211730957,0.07771897315979004,0.2989468574523926,0.3466451168060303,1.015882968902588,cat
weasel,0.9768853,otter,0.013606575,mink,0.0061598807,weasel,0.9370369,otter,0.019553006,polecat,0.018317688,weasel,0.96297574,polecat,0.012602248,black-footed_ferret,0.004994797,weasel,0.9298887,polecat,0.013359516,mink,0.0081826765,weasel,0.805422,polecat,0.021532144,mink,0.015269793,0.04410409927368164,0.07273697853088379,0.04299497604370117,0.26764678955078125,0.31002378463745117,0.7375130653381348,weasel
skunk,0.36162013,indri,0.119841926,Tibetan_mastiff,0.044901893,wallaby,0.14873028,Madagascar_cat,0.083601326,badger,0.06816902,indri,0.54724014,Madagascar_cat,0.045403853,malamute,0.02184908,badger,0.48190504,Norwegian_elkhound,0.021075502,siamang,0.01707473,badger,0.67064095,skunk,0.01701466,standard_schnauzer,0.014181554,0.046385765075683594,0.07488012313842773,0.044526100158691406,0.27353906631469727,0.32967519760131836,0.7690098285675049,anteater
ibex,0.47639504,bighorn,0.1729065,ram,0.14732099,ibex,0.740909,ram,0.17988728,bighorn,0.041158527,ibex,0.68547803,gazelle,0.036870375,hare,0.027251732,ibex,0.44534153,white_wolf,0.07713587,gazelle,0.06297823,ibex,0.7575636,bighorn,0.042100575,ram,0.015705945,0.04968595504760742,0.07378315925598145,0.04601097106933594,0.27097225189208984,0.34325194358825684,0.7837080955505371,mountain_goat
porcupine,0.9890637,echidna,0.009955034,badger,0.00021508161,porcupine,0.99967694,echidna,0.0002509097,badger,5.2977422e-05,porcupine,0.9487186,echidna,0.0024156852,badger,0.00058940006,porcupine,0.90953594,echidna,0.001131688,beaver,0.00082364405,porcupine,0.8045414,beaver,0.00217242,echidna,0.0018046936,0.05018115043640137,0.07609176635742188,0.04624795913696289,0.26904296875,0.3136019706726074,0.7551732063293457,porcupine
bison,0.9999753,ox,1.8565263e-05,water_buffalo,3.2803844e-06,bison,0.99913126,ox,0.0006937435,water_buffalo,0.00013458505,bison,0.9104688,ox,0.0034273644,water_buffalo,0.00060559175,bison,0.85885364,geyser,0.0012489675,ox,0.0011304873,bison,0.8374179,ox,0.002677558,water_buffalo,0.001590214,0.04551291465759277,0.08018875122070312,0.042656898498535156,0.26571011543273926,0.31046295166015625,0.7445380687713623,american_bison
wombat,0.128578,lynx,0.121405944,kit_fox,0.037527118,wombat,0.27536407,Chihuahua,0.06660345,Egyptian_cat,0.055178534,lynx,0.11370188,Egyptian_cat,0.106556185,tabby,0.10565529,mink,0.25027543,titi,0.110975884,weasel,0.07735715,wood_rabbit,0.19482623,wombat,0.17205147,mink,0.0742024,0.0446169376373291,0.07210707664489746,0.04215192794799805,0.2652280330657959,0.3288900852203369,0.7529988288879395,vampire_bat
sea_lion,0.60655123,albatross,0.07353426,hog,0.028177973,sea_lion,0.6870622,loggerhead,0.071436726,albatross,0.04751964,sea_lion,0.26311332,puffer,0.06810761,hog,0.05120299,sea_lion,0.89132583,puffer,0.00532959,earthstar,0.0022263709,sea_lion,0.7939948,puffer,0.0042058537,mink,0.0041853595,0.05205392837524414,0.08236813545227051,0.05128884315490723,0.2778902053833008,0.3500218391418457,0.8136289119720459,seal
dowitcher,0.30274656,German_short-haired_pointer,0.1783517,jaguar,0.14521284,hyena,0.39747417,gazelle,0.20265865,African_hunting_dog,0.19934517,impala,0.23367442,hyena,0.10675733,African_hunting_dog,0.0852795,impala,0.45210278,gazelle,0.07545988,zebra,0.048144635,gazelle,0.5028127,Arabian_camel,0.11647083,impala,0.051864974,0.04878687858581543,0.07560276985168457,0.044645071029663086,0.26767587661743164,0.321213960647583,0.7579309940338135,giraffe
African_elephant,0.6516427,Indian_elephant,0.25398827,tusker,0.091343306,African_elephant,0.8545856,Indian_elephant,0.084903196,tusker,0.060142376,African_elephant,0.437403,Indian_elephant,0.19013332,tusker,0.18982297,African_elephant,0.56622005,Indian_elephant,0.23179589,tusker,0.020094259,African_elephant,0.68676883,Indian_elephant,0.08726179,tusker,0.04508375,0.04519987106323242,0.07502007484436035,0.04315018653869629,0.2710738182067871,0.32543206214904785,0.759882926940918,african_elephant
hippopotamus,0.37542674,hog,0.36655167,Mexican_hairless,0.08120342,hog,0.77865523,hippopotamus,0.19766691,wild_boar,0.015574166,hog,0.38489464,wild_boar,0.09952042,hippopotamus,0.08757229,hog,0.6725575,hippopotamus,0.11250384,wild_boar,0.03290989,hog,0.8235748,wild_boar,0.04637493,hippopotamus,0.012462278,0.0471339225769043,0.07480096817016602,0.04375410079956055,0.29108500480651855,0.32047009468078613,0.7772469520568848,tapir
Arctic_fox,0.43552518,white_wolf,0.41869947,Samoyed,0.12145034,Arctic_fox,0.9055894,Samoyed,0.04943042,white_wolf,0.04399335,Arctic_fox,0.59821147,Samoyed,0.09175646,white_wolf,0.054056298,Arctic_fox,0.9237262,white_wolf,0.0049586934,Samoyed,0.0012014947,Arctic_fox,0.7438423,white_wolf,0.015639773,Samoyed,0.0021551242,0.047516822814941406,0.07477235794067383,0.04722094535827637,0.280123233795166,0.33373188972473145,0.7833709716796875,arctic_fox
llama,0.991178,ram,0.00348133,Bedlington_terrier,0.00080662046,llama,0.9966041,ram,0.001169546,Bedlington_terrier,0.0011297812,llama,0.97022533,gazelle,0.0011897355,Arabian_camel,0.0011407287,llama,0.94050515,Arabian_camel,0.002774457,wallaby,0.0010041395,llama,0.8049807,Arabian_camel,0.0016654242,alp,0.001046675,0.04635810852050781,0.07526993751525879,0.04557013511657715,0.275068998336792,0.34177303314208984,0.7840449810028076,alpaca
otter,0.8530402,mink,0.066324145,weasel,0.04136321,otter,0.70041984,mink,0.19142132,weasel,0.062026806,otter,0.81169724,mink,0.056136813,weasel,0.04995969,otter,0.7288545,mink,0.097730204,weasel,0.04637788,otter,0.7025469,mink,0.049680658,weasel,0.03324777,0.05006003379821777,0.07518577575683594,0.04783892631530762,0.26811695098876953,0.3151838779449463,0.756389856338501,otter
koala,0.98622173,guenon,0.002128325,fox_squirrel,0.0010895022,koala,0.99962795,marmoset,9.481406e-05,Madagascar_cat,9.141182e-05,koala,0.85282105,indri,0.01848732,Madagascar_cat,0.013081154,koala,0.84241784,indri,0.0063325297,wombat,0.002908916,koala,0.79392743,wombat,0.005962155,fox_squirrel,0.0011353077,0.05004382133483887,0.07274484634399414,0.0424962043762207,0.2647120952606201,0.31572389602661133,0.7457268238067627,koala
llama,0.9816539,gazelle,0.0072142244,ostrich,0.004969052,llama,0.9425987,ostrich,0.023917384,gazelle,0.017575063,llama,0.97901994,gazelle,0.0049311803,Arabian_camel,0.0016625419,llama,0.9302074,gazelle,0.00910815,Arabian_camel,0.0010916088,llama,0.8176203,gazelle,0.016701976,hare,0.0059352666,0.0448458194732666,0.07185792922973633,0.04413795471191406,0.26566028594970703,0.3151240348815918,0.7416319847106934,vicuna
koala,0.19269922,Norwegian_elkhound,0.06255598,indri,0.053775202,koala,0.17886673,platypus,0.0602714,African_grey,0.058094755,hamster,0.17369173,indri,0.040710185,black-footed_ferret,0.03660882,Bedlington_terrier,0.14376722,koala,0.06655916,Norwegian_elkhound,0.05072316,weasel,0.33643585,hamster,0.13430439,black-footed_ferret,0.08885189,0.045217037200927734,0.07482504844665527,0.041735172271728516,0.2705998420715332,0.33438801765441895,0.7667701244354248,sugar_glider
badger,0.99390596,skunk,0.0049737943,polecat,0.0006295052,badger,0.999969,skunk,2.8721373e-05,weasel,1.3339817e-06,badger,0.96298695,fireboat,0.0027210854,bittern,0.0016128325,badger,0.9149871,weasel,0.0014142878,skunk,0.00092196686,badger,0.87862337,weasel,0.0032606467,skunk,0.001009444,0.048729896545410156,0.07455801963806152,0.05038809776306152,0.2686011791229248,0.32866787910461426,0.7709507942199707,badger
baboon,0.50229424,macaque,0.22181492,patas,0.058098495,baboon,0.8681051,macaque,0.1227551,patas,0.0042383336,baboon,0.8980616,macaque,0.009898741,patas,0.005607596,baboon,0.4829533,patas,0.29842782,macaque,0.0129160285,baboon,0.7367587,macaque,0.024193572,patas,0.013379353,0.046321868896484375,0.08067512512207031,0.05078482627868652,0.2711598873138428,0.3296229839324951,0.7785689830780029,baboon
Indian_elephant,0.33285797,tusker,0.23627464,hippopotamus,0.17773736,sea_lion,0.2770548,Weimaraner,0.09857837,Chesapeake_Bay_retriever,0.069656014,tusker,0.2339906,Indian_elephant,0.17354064,African_elephant,0.16505899,tusker,0.53360724,Indian_elephant,0.26492432,sea_lion,0.03556698,tusker,0.26766464,Indian_elephant,0.1815922,sea_lion,0.16946904,0.051538944244384766,0.07450389862060547,0.04477405548095703,0.2674431800842285,0.3124086856842041,0.7506728172302246,walrus
